time,open,high,low,close
2021-04-01T06:20:00Z,58921,58999,58920,58927
2021-04-01T06:25:00Z,58926,58929,58861,58929
2021-04-01T06:30:00Z,58915,58994,58915,58970
2021-04-01T06:35:00Z,58970,58971,58920,58920
2021-04-01T06:40:00Z,58920,58939,58880,58915
2021-04-01T06:45:00Z,58914,58975,58914,58955
2021-04-01T06:50:00Z,58942,58943,58869.36365513,58890
2021-04-01T06:55:00Z,58893,58893,58669,58729
2021-04-01T07:00:00Z,58729,58729,58530,58579
2021-04-01T07:05:00Z,58577,58651,58574.17196,58651
2021-04-01T07:10:00Z,58651,58662,58527,58636
2021-04-01T07:15:00Z,58636,58742,58633,58742
2021-04-01T07:20:00Z,58730,58889,58728,58793.972406
2021-04-01T07:25:00Z,58793.069023,58888,58751,58858
2021-04-01T07:30:00Z,58860,58912,58779,58835
2021-04-01T07:35:00Z,58835,58880,58812,58812
2021-04-01T07:40:00Z,58812,58816,58739,58757
2021-04-01T07:45:00Z,58756,58756,58619.534118,58695
2021-04-01T07:50:00Z,58693,58877,58673,58877
2021-04-01T07:55:00Z,58877,58881.8438394,58784.70092949,58801
2021-04-01T08:00:00Z,58801,58995,58801,58951
2021-04-01T08:05:00Z,58938,58971,58885,58906
2021-04-01T08:10:00Z,58919,59103,58918,59068
2021-04-01T08:15:00Z,59067,59252,59011,59171
2021-04-01T08:20:00Z,59189,59422,59189,59324
2021-04-01T08:25:00Z,59326,59483,59303.693,59345
2021-04-01T08:30:00Z,59349,59352,59212,59302.22519
2021-04-01T08:35:00Z,59304,59310,59210.73492974,59240
2021-04-01T08:40:00Z,59263,59274,59172,59197
2021-04-01T08:45:00Z,59196,59245,59133,59182.9188574
2021-04-01T08:50:00Z,59196,59196,58552,58759
2021-04-01T08:55:00Z,58759,58865,58709,58850
2021-04-01T09:00:00Z,58849,58900,58822,58860
2021-04-01T09:05:00Z,58860,58967.15688787,58818,58967.15688787
2021-04-01T09:10:00Z,58969,59199,58946,59142
2021-04-01T09:15:00Z,59131,59134.5690071,58972,59032
2021-04-01T09:20:00Z,59032,59069,58961,58987
2021-04-01T09:25:00Z,58982,59037,58936,59006
2021-04-01T09:30:00Z,59000,59000,58834.16548548,58866
2021-04-01T09:35:00Z,58866,58866,58760,58839
2021-04-01T09:40:00Z,58857,58912,58837.636355,58841
2021-04-01T09:45:00Z,58841,58908,58779,58807
2021-04-01T09:50:00Z,58806,58863,58730.737312,58760.32299625
2021-04-01T09:55:00Z,58758,58848,58720,58825
2021-04-01T10:00:00Z,58812,58864,58727,58858
2021-04-01T10:05:00Z,58857,58956,58839,58852
2021-04-01T10:10:00Z,58871,58871,58741,58801
2021-04-01T10:15:00Z,58784,58784,58661,58674
2021-04-01T10:20:00Z,58704,58749,58668.383279,58748
2021-04-01T10:25:00Z,58747,58747,58663.09744946,58717
2021-04-01T10:30:00Z,58717,58717,58645.58307831,58647.66240678
2021-04-01T10:35:00Z,58645.58307831,58687,58500,58500
2021-04-01T10:40:00Z,58503,58787,58500,58693
2021-04-01T10:45:00Z,58676,58765,58621,58645
2021-04-01T10:50:00Z,58646,58646,58510,58552
2021-04-01T10:55:00Z,58566,58696,58565,58625
2021-04-01T11:00:00Z,58620,58620,58420,58547
2021-04-01T11:05:00Z,58512,58515,58029,58321
2021-04-01T11:10:00Z,58322,58465,58322,58459
2021-04-01T11:15:00Z,58458,58458,58280,58317
2021-04-01T11:20:00Z,58349,58355,58201,58269.3688751
2021-04-01T11:25:00Z,58251,58389,58201,58377
2021-04-01T11:30:00Z,58386,58549,58367,58521
2021-04-01T11:35:00Z,58521,58521.97501677,58468,58468
2021-04-01T11:40:00Z,58468.24467559,58599,58468.24467559,58591
2021-04-01T11:45:00Z,58596,58688,58596,58666
2021-04-01T11:50:00Z,58666,58682,58526,58541
2021-04-01T11:55:00Z,58538,58626,58512,58599
2021-04-01T12:00:00Z,58584,58673.80053,58389,58618
2021-04-01T12:05:00Z,58612,58731,58591,58650
2021-04-01T12:10:00Z,58665,58690.04759604,58611,58627
2021-04-01T12:15:00Z,58612,58679,58588.7140258,58666
2021-04-01T12:20:00Z,58666,58700,58617,58700
2021-04-01T12:25:00Z,58700,58722,58641,58711
2021-04-01T12:30:00Z,58703.8133682,58703.8133682,58615,58674
2021-04-01T12:35:00Z,58677,58677,58609,58646
2021-04-01T12:40:00Z,58609.10940248,58650,58515,58515
2021-04-01T12:45:00Z,58516,58631,58509.80923208,58621
2021-04-01T12:50:00Z,58616,58700,58616,58656
2021-04-01T12:55:00Z,58657.98931596,58748,58640,58747.41340332
2021-04-01T13:00:00Z,58748,58931,58746,58873
2021-04-01T13:05:00Z,58874,59145.517952,58868,59006
2021-04-01T13:10:00Z,59005,59037,58923,58929
2021-04-01T13:15:00Z,58918,58918,58825,58838.46860346
2021-04-01T13:20:00Z,58839,58959,58838.46860346,58930
2021-04-01T13:25:00Z,58930,58977.5604103,58930,58959.292876
2021-04-01T13:30:00Z,58960,59128.27151091,58888,59069
2021-04-01T13:35:00Z,59040,59136,59033.719426,59057
2021-04-01T13:40:00Z,59057,59072,59027,59051
2021-04-01T13:45:00Z,59051,59063,59037,59060
2021-04-01T13:50:00Z,59060,59085,59023,59023
2021-04-01T13:55:00Z,59020,59033,58932.33614703,58963.9419789
2021-04-01T14:00:00Z,58967,58970,58887,58916
2021-04-01T14:05:00Z,58919,58999,58822,58822
